Iteration,Heuristic Value,Total sideways,Time
1,2,43,10.0000
2,5,49,12.0000
3,7,108,21.0000
4,9,159,26.0000
5,11,208,30.0000
6,12,341,38.0000
7,13,463,43.0000
8,14,581,49.0000
9,15,694,54.0000
10,17,740,60.0000
11,18,822,65.0000
12,19,895,70.0000
13,20,963,77.0000
14,21,1026,83.0000
15,22,1115,88.0000
16,24,1144,95.0000
17,26,1167,101.0000
18,27,1216,107.0000
19,28,1263,110.0000
20,29,1306,119.0000
21,30,1391,121.0000
22,31,1426,131.0000
23,32,1456,133.0000
24,33,1483,143.0000
25,34,1510,150.0000
26,35,1573,156.0000
27,36,1631,163.0000
28,37,1686,170.0000
29,38,1687,175.0000
30,39,1688,182.0000
31,40,1688,188.0000
32,40,1817,194.0000
33,40,1949,201.0000
34,40,2000,207.0000
35,41,2000,212.0000
36,41,2000,220.0000
