Iteration,Heuristic Value,Time
1,3,4.0000
2,5,14.0000
3,7,21.0000
4,9,27.0000
5,11,33.0000
6,12,39.0000
7,13,44.0000
8,14,50.0000
9,16,55.0000
10,17,58.0000
11,18,65.0000
12,19,70.0000
13,20,76.0000
14,21,82.0000
15,22,87.0000
16,23,93.0000
17,24,98.0000
18,25,105.0000
19,26,112.0000
20,27,113.0000
21,28,123.0000
22,29,129.0000
23,30,133.0000
24,31,141.0000
25,32,147.0000
26,33,149.0000
27,34,159.0000
28,35,163.0000
29,36,171.0000
30,37,177.0000
31,38,185.0000
32,39,190.0000
33,40,197.0000
34,40,203.0000
